"created_year","channels_created","total_subscribers_created","avg_subscribers_per_channel","avg_earnings"
2005,"24","619900000","25829166.666666666667","581795.855416666667"
2006,"91","2901500000","31884615.384615384615","661322.140219780220"
2007,"49","1220200000","24902040.816326530612","643026.579183673469"
2008,"46","1088000000","23652173.913043478261","629133.695869565217"
2009,"52","1201500000","23105769.230769230769","498263.463653846154"
2010,"48","992200000","20670833.333333333333","288009.902916666667"
2011,"82","1787600000","21800000.000000000000","429979.785121951220"
2012,"68","1634600000","24038235.294117647059","526064.852941176471"
2013,"76","1864100000","24527631.578947368421","447619.282894736842"
2014,"98","2020600000","20618367.346938775510","597294.511326530612"
2015,"73","1551100000","21247945.205479452055","458284.269178082192"
2016,"77","1778800000","23101298.701298701299","666603.289350649351"
2017,"68","1269300000","18666176.470588235294","557369.751323529412"
2018,"46","1061700000","23080434.782608695652","507319.958043478261"
2019,"33","615100000","18639393.939393939394","529045.547272727273"
2020,"30","640500000","21350000.000000000000","1986075.068000000000"
2021,"23","427200000","18573913.043478260870","1118292.522608695652"
2022,"5","68200000","13640000.000000000000","16227.204000000000"
