"category","total_subscribers","channel_count","subscribers_millions"
"Music","5195000000","202","5195.0"
"Entertainment","5159100000","241","5159.1"
"People & Blogs","2779400000","132","2779.4"
"Gaming","1960100000","94","1960.1"
"Comedy","1388500000","69","1388.5"
"Film & Animation","1314900000","46","1314.9"
"Education","1194400000","45","1194.4"
"nan","1103900000","46","1103.9"
"Howto & Style","775600000","40","775.6"
"Shows","541000000","13","541.0"
"News & Politics","536400000","26","536.4"
"Science & Technology","316500000","17","316.5"
"Sports","298200000","11","298.2"
"Trailers","78000000","2","78.0"
"Pets & Animals","72400000","4","72.4"
"Nonprofits & Activism","55500000","2","55.5"
"Movies","51300000","2","51.3"
"Autos & Vehicles","35700000","2","35.7"
"Travel & Events","12500000","1","12.5"
