"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"T-Series","Music","Music","India","Asia","9000000.00",2006,245000000,"Over 100M","228000000000"
"YouTube Movies","Film & Animation","Film & Animation","United States","North America","0.05",2006,170000000,"Over 100M","0"
"MrBeast","Entertainment","Entertainment","United States","North America","5400000.00",2012,166000000,"Over 100M","28368841870"
"Cocomelon - Nursery Rhymes","Education","Education","United States","North America","7900000.00",2006,162000000,"Over 100M","164000000000"
"SET India","Shows","Other","India","Asia","7300000.00",2006,159000000,"Over 100M","148000000000"
"Music","nan","Other","Nothing","Other","0.00",2013,119000000,"Over 100M","0"
"��� Kids Diana Show","People & Blogs","People & Blogs","United States","North America","2900000.00",2015,112000000,"Over 100M","93247040539"
"PewDiePie","Gaming","Gaming","Japan","Asia","156700.00",2010,111000000,"Over 100M","29058044447"
"Like Nastya","People & Blogs","People & Blogs","Russia","Europe","195800.00",2016,106000000,"Over 100M","90479060027"
"Vlad and Niki","Entertainment","Entertainment","United States","North America","2300000.00",2018,99800000,"10M-100M","77180169894"
"Zee Music Company","Music","Music","India","Asia","3200000.00",2014,96700000,"10M-100M","57856289381"
"WWE","Sports","Other","United States","North America","2900000.00",2007,96000000,"10M-100M","77428473662"
"Gaming","nan","Other","Nothing","Other","0.00",2013,93600000,"10M-100M","0"
"BLACKPINK","People & Blogs","People & Blogs","South Korea","Asia","2000000.00",2016,89800000,"10M-100M","32144597566"
"Goldmines","Film & Animation","Film & Animation","Nothing","Other","0.07",2006,86900000,"10M-100M","24118230580"
"Sony SAB","Shows","Other","India","Asia","6600000.00",2007,83000000,"10M-100M","101000000000"
"5-Minute Crafts","Howto & Style","Other","United Kingdom","Europe","0.00",2020,80100000,"10M-100M","26236790209"
"BANGTANTV","Music","Music","South Korea","Asia","673200.00",2012,75600000,"10M-100M","20826993957"
"Sports","nan","Other","United States","North America","0.06",2006,75000000,"10M-100M","0"
"Justin Bieber","Music","Music","Canada","North America","705300.00",2007,71600000,"10M-100M","30608119724"
"HYBE LABELS","Music","Music","South Korea","Asia","2400000.00",2008,71300000,"10M-100M","28634566938"
"Zee TV","Entertainment","Entertainment","India","Asia","6800000.00",2005,70500000,"10M-100M","73139054467"
"Pinkfong Baby Shark - Kids' Songs & Stories","Education","Education","United States","North America","1900000.00",2011,68200000,"10M-100M","38843229963"
"Canal KondZilla","Music","Music","Brazil","South America","0.00",2012,66500000,"10M-100M","36775585925"
"ChuChu TV Nursery Rhymes & Kids Songs","Education","Education","India","Asia","1700000.00",2013,65900000,"10M-100M","45757850229"
"Shemaroo Filmi Gaane","Music","Music","India","Asia","1000000.00",2010,65600000,"10M-100M","28648024439"
"Colors TV","Shows","Other","India","Asia","4800000.00",2008,64600000,"10M-100M","61510906457"
"T-Series Bhakti Sagar","Music","Music","India","Asia","0.04",2018,61000000,"10M-100M","29533230328"
"Dude Perfect","Sports","Other","United States","North America","564800.00",2009,59500000,"10M-100M","16241549158"
"Movieclips","Film & Animation","Film & Animation","United States","North America","458700.00",2006,59500000,"10M-100M","59316472754"
"Tips Official","Music","Music","India","Asia","1700000.00",2007,59300000,"10M-100M","33431802698"
"El Reino Infantil","Music","Music","Argentina","South America","2400000.00",2011,58400000,"10M-100M","57271630846"
"Wave Music","Music","Music","India","Asia","928100.00",2014,58000000,"10M-100M","40602020243"
"Aaj Tak","News & Politics","Other","India","Asia","1800000.00",2009,57600000,"10M-100M","25307753534"
"Sony Music India","Music","Music","India","Asia","1000000.00",2009,57200000,"10M-100M","28837144516"
"EminemMusic","Music","Music","United States","North America","1000000.00",2007,56900000,"10M-100M","27073872856"
"Marshmello","Entertainment","Entertainment","United States","North America","448400.00",2015,56400000,"10M-100M","14696003229"
"YRF","Film & Animation","Film & Animation","India","Asia","2000000.00",2006,54600000,"10M-100M","35302243691"
"LooLoo Kids - Nursery Rhymes and Children's Songs","Music","Music","Nothing","Other","0.64",2016,54000000,"10M-100M","32312431239"
"Ed Sheeran","Music","Music","United Kingdom","Europe","810900.00",2006,53500000,"10M-100M","30367676736"
"Infobells - Hindi","Education","Education","India","Asia","3300000.00",2014,53300000,"10M-100M","30516172739"
"Taylor Swift","Music","Music","United States","North America","2100000.00",2006,52900000,"10M-100M","29884657286"
"Ariana Grande","Music","Music","United States","North America","640900.00",2007,52700000,"10M-100M","24004842608"
"BillionSurpriseToys  - Nursery Rhymes & Cartoons","Education","Education","United States","North America","1100000.00",2013,52200000,"10M-100M","9877365274"
"JuegaGerman","Gaming","Gaming","Chile","South America","265600.00",2013,48100000,"10M-100M","14631710289"
"Billie Eilish","Music","Music","United States","North America","587400.00",2013,47900000,"10M-100M","13626331061"
"Get Movies","Entertainment","Entertainment","Russia","Europe","1200000.00",2006,47500000,"10M-100M","30788679536"
"Shemaroo","Entertainment","Entertainment","India","Asia","931000.00",2007,47400000,"10M-100M","22519705183"
"Badabun","Entertainment","Entertainment","Nothing","Other","2.00",2007,46800000,"10M-100M","19398045702"
"SonyMusicIndiaVEVO","Music","Music","United States","North America","1300000.00",2009,46600000,"10M-100M","27286058807"
"A4","Gaming","Gaming","Cuba","Other","0.38",2006,46300000,"10M-100M","22936630813"
"Bad Bunny","Music","Music","Nothing","Other","0.00",2005,46100000,"10M-100M","30686342319"
"Fernanfloo","Gaming","Gaming","El Salvador","Other","135400.00",2011,46100000,"10M-100M","10323391593"
"Voot Kids","Entertainment","Entertainment","India","Asia","936000.00",2016,45500000,"10M-100M","21388725229"
"Felipe Neto","Entertainment","Entertainment","Brazil","South America","521400.00",2006,45200000,"10M-100M","16602198273"
"Voc���","Entertainment","Entertainment","Brazil","South America","192100.00",2013,44700000,"10M-100M","7828610828"
"HAR PAL GEO","Entertainment","Entertainment","Pakistan","Other","5300000.00",2008,44600000,"10M-100M","41139050371"
