"country","continent","abbreviation","channel_count","total_subscribers","total_views","avg_earnings","latitude","longitude","country_rank","category"
"United States","North America","US","73","1689200000","1012122856315","444222.950684931507","37.090240","-95.712891","1","Music"
"United States","North America","US","68","1607500000","743334306596","519813.533235294118","37.090240","-95.712891","2","Entertainment"
"India","Asia","IN","45","927500000","551343827960","985308.889777777778","20.593684","78.962880","3","Entertainment"
"United States","North America","US","38","802600000","394306908853","710104.000263157895","37.090240","-95.712891","4","People & Blogs"
"India","Asia","IN","29","1125300000","673625200058","1050765.518620689655","20.593684","78.962880","5","Music"
"United States","North America","US","26","493300000","214878567349","381250.388076923077","37.090240","-95.712891","6","Gaming"
"United States","North America","US","22","420700000","232222959245","831277.272727272727","37.090240","-95.712891","7","Comedy"
"United States","North America","US","22","483100000","199474072173","638190.911818181818","37.090240","-95.712891","7","nan"
"United States","North America","US","17","576300000","386532495803","953611.764705882353","37.090240","-95.712891","9","Education"
"India","Asia","IN","16","343600000","99718638450","467568.750000000000","20.593684","78.962880","10","Comedy"
"Brazil","South America","BR","16","318300000","182585917817","747475.000000000000","-14.235004","-51.925280","10","Music"
"India","Asia","IN","15","367200000","179179308515","695666.666666666667","20.593684","78.962880","12","Education"
"India","Asia","IN","15","254500000","122744120145","987000.000000000000","20.593684","78.962880","12","People & Blogs"
"United Kingdom","Europe","GB","14","308200000","177946742401","367300.000000000000","55.378051","-3.435973","14","Music"
"Brazil","South America","BR","14","286400000","86834906058","238270.785714285714","-14.235004","-51.925280","14","Entertainment"
"United States","North America","US","12","442100000","158734090558","934398.587500000000","37.090240","-95.712891","16","Film & Animation"
"United States","North America","US","12","199600000","53269972581","159375.000000000000","37.090240","-95.712891","16","Howto & Style"
"Indonesia","Asia","ID","12","232500000","64385535406","346875.028333333333","-0.789275","113.921327","16","Entertainment"
"India","Asia","IN","11","269600000","110125421502","564081.818181818182","20.593684","78.962880","19","Film & Animation"
"India","Asia","IN","11","264800000","110082745690","848409.454545454545","20.593684","78.962880","19","News & Politics"
"United Kingdom","Europe","GB","10","186200000","66721005972","249960.700000000000","55.378051","-3.435973","21","Entertainment"
"Thailand","Asia","TH","9","203700000","147917375894","392888.888888888889","15.870032","100.992541","22","Entertainment"
"Russia","Europe","RU","8","223500000","128408363867","618866.375000000000","61.524010","105.318756","23","People & Blogs"
