"category","channel_count","total_subscribers","total_views","avg_subscribers","avg_earnings","percentage"
"Music","202","5195000000","3121477506633","25717821.782178217822","552299.623514851485","20.30"
"Entertainment","241","5159100000","2527739309583","21407053.941908713693","622642.593941908714","24.22"
"People & Blogs","132","2779400000","1265791201548","21056060.606060606061","546842.076969696970","13.27"
"Gaming","94","1960100000","717638899629","20852127.659574468085","271905.440212765957","9.45"
"Comedy","69","1388500000","550112774315","20123188.405797101449","668312.217391304348","6.93"
"Film & Animation","46","1314900000","544422509313","28584782.608695652174","732701.809130434783","4.62"
"Education","45","1194400000","696614472899","26542222.222222222222","695177.780000000000","4.52"
"nan","46","1103900000","304643391631","23997826.086956521739","984453.696956521739","4.62"
"Howto & Style","40","775600000","201817545540","19390000.000000000000","192799.058500000000","4.02"
"Shows","13","541000000","446206826909","41615384.615384615385","2037661.538461538462","1.31"
"News & Politics","26","536400000","270391919347","20630769.230769230769","642631.961538461538","2.61"
"Science & Technology","17","316500000","66976747110","18617647.058823529412","202043.235294117647","1.71"
"Sports","11","298200000","147986290620","27109090.909090909091","806936.363636363636","1.11"
"Trailers","2","78000000","33262717607","39000000.000000000000","361900.000000000000","0.20"
"Pets & Animals","4","72400000","44866745899","18100000.000000000000","794432.250000000000","0.40"
"Nonprofits & Activism","2","55500000","10862911785","27750000.000000000000","390400.000000000000","0.20"
"Movies","2","51300000","15383255129","25650000.000000000000","454700.000000000000","0.20"
"Autos & Vehicles","2","35700000","15003458141","17850000.000000000000","1086350.000000000000","0.20"
"Travel & Events","1","12500000","3140883140","12500000.000000000000","124000.000000000000","0.10"
