"youtuber","country","category","subscribers","video_views","engagement_ratio","monthly_earnings"
"netd m��","Turkey","Music","24100000","56106087508","2328.1","1700000.00"
"jbalvinVEVO","Colombia","Music","13200000","20743586601","1571.5","345100.00"
"Ryan's World","United States","Entertainment","35200000","55299840198","1571.0","954500.00"
"Vijay Television","India","Entertainment","20400000","29406206620","1441.5","3600000.00"
"Maroon5VEVO","United States","Music","14500000","20042571499","1382.2","392700.00"
"shakiraVEVO","United States","Music","18400000","25367126292","1378.6","1100000.00"
"Tsuriki Show","Germany","Entertainment","23000000","31494513067","1369.3","3000000.00"
"ViralHog","United States","People & Blogs","14000000","18917687143","1351.3","5500000.00"
"LankyBox","United States","Comedy","25400000","34300482066","1350.4","3300000.00"
"MalumaVEVO","United States","Music","14100000","19013942981","1348.5","395300.00"
"Mundo Bita","Brazil","Music","12500000","16690788752","1335.3","854800.00"
"MoniLina","United States","Comedy","12400000","16086808918","1297.3","0.00"
"ZEE5","India","Entertainment","14400000","18515587421","1285.8","599200.00"
"LEGO","Singapore","Entertainment","16200000","20522339099","1266.8","468800.00"
"D Billions","United States","nan","26200000","31977463002","1220.5","1900000.00"
