"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"T-Series","Music","India","Music","India","Asia","245000000","228000000000","9000000.00","91276200000",2006
"Cocomelon - Nursery Rhymes","Education","United States","Education","United States","North America","162000000","164000000000","7900000.00","65650970000",2006
"SET India","Shows","India","Other","India","Asia","159000000","148000000000","7300000.00","59249890000",2006
"Sony SAB","Shows","India","Other","India","Asia","83000000","101000000000","6600000.00","40426880000",2007
"��� Kids Diana Show","People & Blogs","United States","People & Blogs","United States","North America","112000000","93247040539","2900000.00","37333286216",2015
"Like Nastya","People & Blogs","Russia","People & Blogs","Russia","Europe","106000000","90479060027","195800.00","36223482751",2016
"WWE","Sports","United States","Other","United States","North America","96000000","77428473662","2900000.00","31001059465",2007
"Vlad and Niki","Entertainment","United States","Entertainment","United States","North America","99800000","77180169894","2300000.00","30902697958",2018
"Zee TV","Entertainment","India","Entertainment","India","Asia","70500000","73139054467","6800000.00","29278811787",2005
"Colors TV","Shows","India","Other","India","Asia","64600000","61510906457","4800000.00","24625182583",2008
"Movieclips","Film & Animation","United States","Film & Animation","United States","North America","59500000","59316472754","458700.00","23744576712",2006
"Zee Music Company","Music","India","Music","India","Asia","96700000","57856289381","3200000.00","23172485752",2014
"El Reino Infantil","Music","Argentina","Music","Argentina","South America","58400000","57271630846","2400000.00","22926892338",2011
"netd m��","Music","Turkey","Music","Turkey","Other","24100000","56106087508","1700000.00","22450175003",2014
"Ryan's World","Entertainment","United States","Entertainment","United States","North America","35200000","55299840198","954500.00","22130782429",2015
"ABS-CBN Entertainment","People & Blogs","Philippines","People & Blogs","Philippines","Asia","44200000","50292540392","706500.00","20130488107",2008
"Toys and Colors","Entertainment","Nothing","Entertainment","Nothing","Other","40300000","47005053156","0.02","18814111262",2018
"ChuChu TV Nursery Rhymes & Kids Songs","Education","India","Education","India","Asia","65900000","45757850229","1700000.00","18323420092",2013
"Super Simple Songs - Kids Songs","Education","Canada","Education","Canada","North America","39200000","44900897958","2200000.00","17972779183",2006
"HAR PAL GEO","Entertainment","Pakistan","Entertainment","Pakistan","Other","44600000","41139050371","5300000.00","16470590148",2008
"Wave Music","Music","India","Music","India","Asia","58000000","40602020243","928100.00","16258486527",2014
"Little Baby Bum - Nursery Rhymes & Kids Songs","Education","United States","Education","United States","North America","40900000","39450824833","395100.00","15792718463",2011
"Pinkfong Baby Shark - Kids' Songs & Stories","Education","United States","Education","United States","North America","68200000","38843229963","1900000.00","15558321985",2011
"ARY Digital HD","Entertainment","Pakistan","Entertainment","Pakistan","Other","43200000","37939780685","4600000.00","15190252274",2016
"Canal KondZilla","Music","Brazil","Music","Brazil","South America","66500000","36775585925","0.00","14730184370",2012
"�������� �� ��������������","Film & Animation","Russia","Film & Animation","Russia","Europe","43200000","36458726976","1200000.00","14596810790",2011
"WorkpointOfficial","Entertainment","Thailand","Entertainment","Thailand","Asia","39000000","36131228583","521800.00","14464347973",2012
"YRF","Film & Animation","India","Film & Animation","India","Asia","54600000","35302243691","2000000.00","14137877476",2006
"LankyBox","Comedy","United States","Comedy","United States","North America","25400000","34300482066","3300000.00","13728802826",2016
"Tips Official","Music","India","Music","India","Asia","59300000","33431802698","1700000.00","13391021079",2007
"LooLoo Kids - Nursery Rhymes and Children's Songs","Music","Nothing","Music","Nothing","Other","54000000","32312431239","0.64","12941172496",2016
"BLACKPINK","People & Blogs","South Korea","People & Blogs","South Korea","Asia","89800000","32144597566","2000000.00","12885379026",2016
"D Billions","nan","United States","Other","United States","North America","26200000","31977463002","1900000.00","12799415201",2019
"Tsuriki Show","Entertainment","Germany","Entertainment","Germany","Europe","23000000","31494513067","3000000.00","12605605227",2019
"Get Movies","Entertainment","Russia","Entertainment","Russia","Europe","47500000","30788679536","1200000.00","12330081814",2006
"Bad Bunny","Music","Nothing","Music","Nothing","Other","46100000","30686342319","0.00","12288366928",2005
"Justin Bieber","Music","Canada","Music","Canada","North America","71600000","30608119724","705300.00","12264939480",2007
"Infobells - Hindi","Education","India","Education","India","Asia","53300000","30516172739","3300000.00","12223449096",2014
"Ed Sheeran","Music","United Kingdom","Music","United Kingdom","Europe","53500000","30367676736","810900.00","12163363964",2006
"Taylor Swift","Music","United States","Music","United States","North America","52900000","29884657286","2100000.00","11970362914",2006
"Ch3Thailand","Entertainment","Thailand","Entertainment","Thailand","Asia","33500000","29611914495","0.00","11854815798",2014
"T-Series Bhakti Sagar","Music","India","Music","India","Asia","61000000","29533230328","0.04","11831592131",2018
"Vijay Television","Entertainment","India","Entertainment","India","Asia","20400000","29406206620","3600000.00","11769682648",2007
"PewDiePie","Gaming","Japan","Gaming","Japan","Asia","111000000","29058044447","156700.00","11656564789",2010
"Sony Music India","Music","India","Music","India","Asia","57200000","28837144516","1000000.00","11552317806",2009
"Shemaroo Filmi Gaane","Music","India","Music","India","Asia","65600000","28648024439","1000000.00","11479189776",2010
"HYBE LABELS","Music","South Korea","Music","South Korea","Asia","71300000","28634566938","2400000.00","11475936775",2008
"Sony PAL","Shows","India","Other","India","Asia","38200000","28519339489","1700000.00","11419705796",2014
"DisneyMusicVEVO","Music","United States","Music","United States","North America","32700000","28516250629","1300000.00","11416700252",2010
"MrBeast","Entertainment","United States","Entertainment","United States","North America","166000000","28368841870","5400000.00","11398956748",2012
"�������� �������� ���������� | toyoraljanahtv","Entertainment","Jordan","Entertainment","Jordan","Other","30200000","27684955537","465700.00","11083181925",2008
"Shakira","People & Blogs","Colombia","People & Blogs","Colombia","South America","43500000","27568757295","1400000.00","11040972918",2005
"SMTOWN","Music","Nothing","Music","Nothing","Other","31900000","27330239663","933600.00","10941945945",2006
"SonyMusicIndiaVEVO","Music","United States","Music","United States","North America","46600000","27286058807","1300000.00","10928793523",2009
