"rank","youtuber","country","category","subscribers","video_views","monthly_earnings","yearly_earnings","views_per_subscriber"
"1","T-Series","India","Music","245000000","228000000000","9000000.00","108400000.00","930.6"
"2","YouTube Movies","United States","Film & Animation","170000000","0","0.05","0.58","0.0"
"3","MrBeast","United States","Entertainment","166000000","28368841870","5400000.00","64700000.00","170.9"
"4","Cocomelon - Nursery Rhymes","United States","Education","162000000","164000000000","7900000.00","94800000.00","1012.3"
"5","SET India","India","Shows","159000000","148000000000","7300000.00","87500000.00","930.8"
"6","Music","Nothing","nan","119000000","0","0.00","0.00","0.0"
"7","��� Kids Diana Show","United States","People & Blogs","112000000","93247040539","2900000.00","35100000.00","832.6"
"8","PewDiePie","Japan","Gaming","111000000","29058044447","156700.00","1900000.00","261.8"
"9","Like Nastya","Russia","People & Blogs","106000000","90479060027","195800.00","2300000.00","853.6"
"10","Vlad and Niki","United States","Entertainment","99800000","77180169894","2300000.00","27900000.00","773.3"
"11","Zee Music Company","India","Music","96700000","57856289381","3200000.00","38600000.00","598.3"
"12","WWE","United States","Sports","96000000","77428473662","2900000.00","34300000.00","806.5"
"13","Gaming","Nothing","nan","93600000","0","0.00","0.00","0.0"
"14","BLACKPINK","South Korea","People & Blogs","89800000","32144597566","2000000.00","23900000.00","358.0"
"15","Goldmines","Nothing","Film & Animation","86900000","24118230580","0.07","0.86","277.5"
"16","Sony SAB","India","Shows","83000000","101000000000","6600000.00","79600000.00","1216.9"
"17","5-Minute Crafts","United Kingdom","Howto & Style","80100000","26236790209","0.00","0.05","327.6"
"18","BANGTANTV","South Korea","Music","75600000","20826993957","673200.00","8100000.00","275.5"
"19","Sports","United States","nan","75000000","0","0.06","0.77","0.0"
"20","Justin Bieber","Canada","Music","71600000","30608119724","705300.00","8500000.00","427.5"
