"rank","youtuber","country","category","subscribers","video_views","monthly_earnings","yearly_earnings","rpm"
"496","��������� KIMPRO","South Korea","nan","17700000","19206701832","13600000.00","163400000.00","0.71"
"418","DaFuq!?Boom!","United States","Film & Animation","19600000","7906181776","9200000.00","110600000.00","1.16"
"1","T-Series","India","Music","245000000","228000000000","9000000.00","108400000.00","0.04"
"303","KL BRO Biju Rithvik","Nothing","Entertainment","22800000","17988347989","8100000.00","97600000.00","0.45"
"4","Cocomelon - Nursery Rhymes","United States","Education","162000000","164000000000","7900000.00","94800000.00","0.05"
"5","SET India","India","Shows","159000000","148000000000","7300000.00","87500000.00","0.05"
"22","Zee TV","India","Entertainment","70500000","73139054467","6800000.00","81900000.00","0.09"
"140","StarPlus","India","Entertainment","32000000","26800674545","6700000.00","80000000.00","0.25"
"16","Sony SAB","India","Shows","83000000","101000000000","6600000.00","79600000.00","0.07"
"84","GR6 EXPLODE","Brazil","Music","38900000","25154232306","6500000.00","78500000.00","0.26"
"333","ZAMZAM ELECTRONICS TRADING","United Arab Emirates","nan","21700000","8507818877","6400000.00","76700000.00","0.75"
"133","BETER B��","Turkey","nan","32700000","19180039918","5900000.00","70200000.00","0.31"
"484","BeatboxJCOP","Nothing","Film & Animation","18000000","8716982055","5500000.00","66000000.00","0.63"
"799","ViralHog","United States","People & Blogs","14000000","18917687143","5500000.00","65500000.00","0.29"
"3","MrBeast","United States","Entertainment","166000000","28368841870","5400000.00","64700000.00","0.19"
"57","HAR PAL GEO","Pakistan","Entertainment","44600000","41139050371","5300000.00","64200000.00","0.13"
"389","dednahype","Latvia","Comedy","20200000","20919403720","5000000.00","59800000.00","0.24"
"213","PANDA BOI","Italy","Entertainment","26400000","17211600007","4900000.00","58800000.00","0.28"
"713","Filaretiki","United States","nan","14800000","15788208522","4800000.00","57800000.00","0.30"
"27","Colors TV","India","Shows","64600000","61510906457","4800000.00","57000000.00","0.08"
